texto,label
"Paciente com histórico de alergia relata leve reação cutânea. Paciente do sexo masculino, 62 anos.",atencao
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas.",normal
"Exame indica leve alteração em enzimas hepáticas, necessita reavaliação. Sem histórico médico relevante.",atencao
Sinais de acidente vascular cerebral: perda de força e fala arrastada.,urgente
"Sinais de acidente vascular cerebral: perda de força e fala arrastada. Paciente do sexo feminino, 45 anos.",urgente
"Paciente com febre alta e rigidez de nuca, suspeita de meningite. Encaminhado pelo pronto atendimento.",urgente
Paciente com histórico de alergia relata leve reação cutânea. Histórico de comorbidades relatado.,atencao
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Sem histórico médico relevante.",urgente
"Pequena ferida com sinais iniciais de inflamação, sem pus. Encaminhado pelo pronto atendimento.",atencao
"Trauma craniano grave após acidente, paciente inconsciente. Paciente do sexo masculino, 62 anos.",urgente
"Paciente relata cansaço e mal-estar leve nos últimos dias. Paciente do sexo masculino, 62 anos.",atencao
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Encaminhado pelo pronto atendimento.",atencao
"Vacinação de rotina realizada sem intercorrências. Paciente do sexo masculino, 62 anos.",normal
Paciente com convulsões recorrentes e perda de consciência. Histórico de comorbidades relatado.,urgente
"Paciente relata bem-estar geral, sinais vitais normais. Acompanhado por familiar.",normal
"Pequena ferida com sinais iniciais de inflamação, sem pus. Paciente do sexo masculino, 62 anos.",atencao
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Paciente do sexo feminino, 45 anos.",urgente
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional.",atencao
"Paciente comparece para avaliação preventiva anual, tudo normal. Acompanhado por familiar.",normal
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Histórico de comorbidades relatado.",urgente
"Sinais vitais instáveis, saturação de oxigênio criticamente baixa. Histórico de comorbidades relatado.",urgente
"Pequena ferida com sinais iniciais de inflamação, sem pus. Histórico de comorbidades relatado.",atencao
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Paciente do sexo feminino, 45 anos.",urgente
"Paciente relata bem-estar geral, sinais vitais normais. Sem histórico médico relevante.",normal
Sinais de acidente vascular cerebral: perda de força e fala arrastada. Encaminhado pelo pronto atendimento.,urgente
"Pequena ferida com sinais iniciais de inflamação, sem pus. Encaminhado pelo pronto atendimento.",atencao
"Resultado de exame de rotina normal, sem necessidade de intervenção. Histórico de comorbidades relatado.",normal
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Histórico de comorbidades relatado.",urgente
"Trauma craniano grave após acidente, paciente inconsciente. Histórico de comorbidades relatado.",urgente
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Paciente do sexo masculino, 62 anos.",urgente
"Paciente relata tosse persistente há uma semana, sem falta de ar. Paciente do sexo feminino, 45 anos.",atencao
Vacinação de rotina realizada sem intercorrências. Histórico de comorbidades relatado.,normal
"Resultado de exame de rotina normal, sem necessidade de intervenção. Histórico de comorbidades relatado.",normal
"Queixa de dor abdominal leve a moderada, sem sinais de alarme.",atencao
"Paciente relata tosse persistente há uma semana, sem falta de ar. Acompanhado por familiar.",atencao
"Pequena ferida com sinais iniciais de inflamação, sem pus. Paciente do sexo masculino, 62 anos.",atencao
Exame oftalmológico de rotina sem achados relevantes.,normal
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Paciente do sexo feminino, 45 anos.",atencao
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Histórico de comorbidades relatado.",urgente
Reação alérgica grave com edema de glote e dificuldade respiratória. Acompanhado por familiar.,urgente
"Paciente comparece para avaliação preventiva anual, tudo normal. Acompanhado por familiar.",normal
"Resultado de exame de rotina normal, sem necessidade de intervenção. Paciente do sexo masculino, 62 anos.",normal
"Dor lombar moderada, sem sinais neurológicos associados. Acompanhado por familiar.",atencao
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo.",urgente
"Resultado de exame de rotina normal, sem necessidade de intervenção.",normal
Exame oftalmológico de rotina sem achados relevantes. Histórico de comorbidades relatado.,normal
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Acompanhado por familiar.",urgente
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Histórico de comorbidades relatado.",atencao
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Paciente do sexo feminino, 45 anos.",urgente
"Paciente com histórico de alergia relata leve reação cutânea. Paciente do sexo masculino, 62 anos.",atencao
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Sem histórico médico relevante.",atencao
Paciente relata cansaço e mal-estar leve nos últimos dias. Encaminhado pelo pronto atendimento.,atencao
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Sem histórico médico relevante.",atencao
Paciente com histórico de alergia relata leve reação cutânea.,atencao
Sinais de acidente vascular cerebral: perda de força e fala arrastada. Encaminhado pelo pronto atendimento.,urgente
Reação alérgica grave com edema de glote e dificuldade respiratória. Encaminhado pelo pronto atendimento.,urgente
"Pequena ferida com sinais iniciais de inflamação, sem pus. Histórico de comorbidades relatado.",atencao
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Acompanhado por familiar.",urgente
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Paciente do sexo masculino, 62 anos.",urgente
"Trauma craniano grave após acidente, paciente inconsciente. Acompanhado por familiar.",urgente
"Sinais vitais instáveis, saturação de oxigênio criticamente baixa. Paciente do sexo masculino, 62 anos.",urgente
"Hemograma completo dentro da normalidade, sem sinais de infecção. Paciente do sexo masculino, 62 anos.",normal
"Paciente relata check-up de rotina, sem queixas relevantes. Paciente do sexo feminino, 45 anos.",normal
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Encaminhado pelo pronto atendimento.",atencao
Paciente com convulsões recorrentes e perda de consciência.,urgente
"Trauma craniano grave após acidente, paciente inconsciente. Histórico de comorbidades relatado.",urgente
"Paciente relata tosse persistente há uma semana, sem falta de ar. Histórico de comorbidades relatado.",atencao
"Dor lombar moderada, sem sinais neurológicos associados. Histórico de comorbidades relatado.",atencao
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Paciente do sexo feminino, 45 anos.",urgente
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Paciente do sexo feminino, 45 anos.",urgente
"Resultado de exame de rotina normal, sem necessidade de intervenção. Acompanhado por familiar.",normal
Reação alérgica grave com edema de glote e dificuldade respiratória. Sem histórico médico relevante.,urgente
"Resultado de exame de rotina normal, sem necessidade de intervenção. Acompanhado por familiar.",normal
"Consulta de retorno, paciente estável, sem sintomas novos. Paciente do sexo masculino, 62 anos.",normal
"Sinais de acidente vascular cerebral: perda de força e fala arrastada. Paciente do sexo masculino, 62 anos.",urgente
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Paciente do sexo feminino, 45 anos.",urgente
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Paciente do sexo feminino, 45 anos.",urgente
Paciente relata cansaço e mal-estar leve nos últimos dias. Sem histórico médico relevante.,atencao
"Queixa de dor abdominal leve a moderada, sem sinais de alarme.",atencao
"Paciente relata check-up de rotina, sem queixas relevantes. Histórico de comorbidades relatado.",normal
"Vacinação de rotina realizada sem intercorrências. Paciente do sexo masculino, 62 anos.",normal
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Paciente do sexo masculino, 62 anos.",normal
"Paciente relata check-up de rotina, sem queixas relevantes. Paciente do sexo masculino, 62 anos.",normal
"Pressão arterial levemente elevada, recomendado acompanhamento. Encaminhado pelo pronto atendimento.",atencao
"Paciente comparece para avaliação preventiva anual, tudo normal. Paciente do sexo feminino, 45 anos.",normal
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Histórico de comorbidades relatado.",urgente
"Exame oftalmológico de rotina sem achados relevantes. Paciente do sexo feminino, 45 anos.",normal
"Pressão arterial levemente elevada, recomendado acompanhamento. Paciente do sexo masculino, 62 anos.",atencao
"Raio-x de tórax sem alterações, paciente assintomático. Acompanhado por familiar.",normal
"Hemograma completo dentro da normalidade, sem sinais de infecção. Paciente do sexo feminino, 45 anos.",normal
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Acompanhado por familiar.",urgente
"Paciente comparece para avaliação preventiva anual, tudo normal. Histórico de comorbidades relatado.",normal
Sinais de acidente vascular cerebral: perda de força e fala arrastada.,urgente
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Encaminhado pelo pronto atendimento.",atencao
Sinais de acidente vascular cerebral: perda de força e fala arrastada. Acompanhado por familiar.,urgente
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Acompanhado por familiar.",atencao
"Resultado de exame de rotina normal, sem necessidade de intervenção. Paciente do sexo feminino, 45 anos.",normal
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Acompanhado por familiar.",normal
"Dor lombar moderada, sem sinais neurológicos associados. Paciente do sexo feminino, 45 anos.",atencao
Paciente apresenta dor torácica intensa e falta de ar súbita. Acompanhado por familiar.,urgente
"Paciente com histórico de alergia relata leve reação cutânea. Paciente do sexo masculino, 62 anos.",atencao
"Paciente apresenta dor torácica intensa e falta de ar súbita. Paciente do sexo feminino, 45 anos.",urgente
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Paciente do sexo masculino, 62 anos.",atencao
Paciente apresenta dor torácica intensa e falta de ar súbita. Acompanhado por familiar.,urgente
"Trauma craniano grave após acidente, paciente inconsciente. Paciente do sexo feminino, 45 anos.",urgente
Reação alérgica grave com edema de glote e dificuldade respiratória. Histórico de comorbidades relatado.,urgente
"Sinais de acidente vascular cerebral: perda de força e fala arrastada. Paciente do sexo masculino, 62 anos.",urgente
"Paciente relata check-up de rotina, sem queixas relevantes. Paciente do sexo masculino, 62 anos.",normal
"Pressão arterial levemente elevada, recomendado acompanhamento. Paciente do sexo masculino, 62 anos.",atencao
"Hemograma completo dentro da normalidade, sem sinais de infecção. Encaminhado pelo pronto atendimento.",normal
"Hemograma completo dentro da normalidade, sem sinais de infecção. Sem histórico médico relevante.",normal
Vacinação de rotina realizada sem intercorrências. Sem histórico médico relevante.,normal
Vacinação de rotina realizada sem intercorrências. Sem histórico médico relevante.,normal
"Consulta de retorno, paciente estável, sem sintomas novos. Paciente do sexo feminino, 45 anos.",normal
Paciente com histórico de alergia relata leve reação cutânea. Acompanhado por familiar.,atencao
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Encaminhado pelo pronto atendimento.",urgente
Vacinação de rotina realizada sem intercorrências. Encaminhado pelo pronto atendimento.,normal
Paciente com convulsões recorrentes e perda de consciência. Histórico de comorbidades relatado.,urgente
"Pressão arterial levemente elevada, recomendado acompanhamento.",atencao
Reação alérgica grave com edema de glote e dificuldade respiratória.,urgente
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Encaminhado pelo pronto atendimento.",normal
Vacinação de rotina realizada sem intercorrências. Histórico de comorbidades relatado.,normal
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Acompanhado por familiar.",urgente
Paciente com convulsões recorrentes e perda de consciência. Acompanhado por familiar.,urgente
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Paciente do sexo masculino, 62 anos.",atencao
Exame oftalmológico de rotina sem achados relevantes.,normal
Paciente com histórico de alergia relata leve reação cutânea. Histórico de comorbidades relatado.,atencao
"Paciente relata tosse persistente há uma semana, sem falta de ar. Paciente do sexo feminino, 45 anos.",atencao
"Queixa de dor abdominal leve a moderada, sem sinais de alarme.",atencao
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Paciente do sexo masculino, 62 anos.",atencao
"Exame indica leve alteração em enzimas hepáticas, necessita reavaliação. Histórico de comorbidades relatado.",atencao
"Pressão arterial levemente elevada, recomendado acompanhamento. Acompanhado por familiar.",atencao
Paciente com convulsões recorrentes e perda de consciência. Histórico de comorbidades relatado.,urgente
"Pequena ferida com sinais iniciais de inflamação, sem pus.",atencao
"Paciente com histórico de alergia relata leve reação cutânea. Paciente do sexo masculino, 62 anos.",atencao
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Paciente do sexo masculino, 62 anos.",atencao
Paciente relata cansaço e mal-estar leve nos últimos dias. Histórico de comorbidades relatado.,atencao
"Dor lombar moderada, sem sinais neurológicos associados. Acompanhado por familiar.",atencao
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Paciente do sexo masculino, 62 anos.",normal
Paciente apresenta dor torácica intensa e falta de ar súbita. Acompanhado por familiar.,urgente
"Exame indica leve alteração em enzimas hepáticas, necessita reavaliação. Paciente do sexo masculino, 62 anos.",atencao
Exame oftalmológico de rotina sem achados relevantes.,normal
"Hemograma completo dentro da normalidade, sem sinais de infecção. Sem histórico médico relevante.",normal
"Paciente comparece para avaliação preventiva anual, tudo normal. Paciente do sexo masculino, 62 anos.",normal
"Resultado de exame de rotina normal, sem necessidade de intervenção. Histórico de comorbidades relatado.",normal
"Hemorragia intensa, paciente com sinais de choque hipovolêmico.",urgente
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Encaminhado pelo pronto atendimento.",atencao
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Paciente do sexo feminino, 45 anos.",urgente
"Consulta de retorno, paciente estável, sem sintomas novos. Encaminhado pelo pronto atendimento.",normal
"Resultado de exame de rotina normal, sem necessidade de intervenção. Histórico de comorbidades relatado.",normal
"Pequena ferida com sinais iniciais de inflamação, sem pus. Encaminhado pelo pronto atendimento.",atencao
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Histórico de comorbidades relatado.",urgente
"Paciente com febre alta e rigidez de nuca, suspeita de meningite. Paciente do sexo masculino, 62 anos.",urgente
"Paciente relata bem-estar geral, sinais vitais normais.",normal
"Paciente apresenta dor torácica intensa e falta de ar súbita. Paciente do sexo feminino, 45 anos.",urgente
Paciente com convulsões recorrentes e perda de consciência. Histórico de comorbidades relatado.,urgente
"Raio-x de tórax sem alterações, paciente assintomático. Encaminhado pelo pronto atendimento.",normal
"Exame indica leve alteração em enzimas hepáticas, necessita reavaliação.",atencao
"Hemograma completo dentro da normalidade, sem sinais de infecção. Encaminhado pelo pronto atendimento.",normal
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Encaminhado pelo pronto atendimento.",normal
"Paciente com febre alta e rigidez de nuca, suspeita de meningite.",urgente
"Paciente relata bem-estar geral, sinais vitais normais. Paciente do sexo masculino, 62 anos.",normal
"Paciente relata check-up de rotina, sem queixas relevantes. Sem histórico médico relevante.",normal
"Hemograma completo dentro da normalidade, sem sinais de infecção. Acompanhado por familiar.",normal
"Paciente comparece para avaliação preventiva anual, tudo normal. Acompanhado por familiar.",normal
Sinais de acidente vascular cerebral: perda de força e fala arrastada. Histórico de comorbidades relatado.,urgente
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Histórico de comorbidades relatado.",atencao
Reação alérgica grave com edema de glote e dificuldade respiratória.,urgente
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Paciente do sexo feminino, 45 anos.",urgente
"Paciente relata bem-estar geral, sinais vitais normais.",normal
"Resultado de exame de rotina normal, sem necessidade de intervenção. Histórico de comorbidades relatado.",normal
Paciente com convulsões recorrentes e perda de consciência. Acompanhado por familiar.,urgente
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Histórico de comorbidades relatado.",urgente
"Paciente com febre alta e rigidez de nuca, suspeita de meningite. Paciente do sexo feminino, 45 anos.",urgente
"Paciente relata bem-estar geral, sinais vitais normais. Paciente do sexo feminino, 45 anos.",normal
"Dor lombar moderada, sem sinais neurológicos associados. Sem histórico médico relevante.",atencao
"Resultado de exame de rotina normal, sem necessidade de intervenção. Sem histórico médico relevante.",normal
"Paciente relata check-up de rotina, sem queixas relevantes. Acompanhado por familiar.",normal
Paciente com convulsões recorrentes e perda de consciência.,urgente
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Encaminhado pelo pronto atendimento.",atencao
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo.",urgente
"Politraumatismo grave após queda de altura, necessita intervenção imediata.",urgente
Exame oftalmológico de rotina sem achados relevantes. Acompanhado por familiar.,normal
Paciente com histórico de alergia relata leve reação cutânea. Histórico de comorbidades relatado.,atencao
"Paciente relata check-up de rotina, sem queixas relevantes. Paciente do sexo masculino, 62 anos.",normal
"Paciente comparece para avaliação preventiva anual, tudo normal. Sem histórico médico relevante.",normal
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Sem histórico médico relevante.",atencao
"Raio-x de tórax sem alterações, paciente assintomático. Sem histórico médico relevante.",normal
"Paciente relata check-up de rotina, sem queixas relevantes. Paciente do sexo masculino, 62 anos.",normal
"Consulta de retorno, paciente estável, sem sintomas novos. Acompanhado por familiar.",normal
"Raio-x de tórax sem alterações, paciente assintomático. Acompanhado por familiar.",normal
Paciente com convulsões recorrentes e perda de consciência.,urgente
"Paciente com febre alta e rigidez de nuca, suspeita de meningite.",urgente
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Encaminhado pelo pronto atendimento.",atencao
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Paciente do sexo masculino, 62 anos.",urgente
"Sinais vitais instáveis, saturação de oxigênio criticamente baixa. Paciente do sexo masculino, 62 anos.",urgente
"Raio-x de tórax sem alterações, paciente assintomático. Paciente do sexo feminino, 45 anos.",normal
"Paciente com febre alta e rigidez de nuca, suspeita de meningite. Paciente do sexo feminino, 45 anos.",urgente
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Paciente do sexo feminino, 45 anos.",atencao
"Paciente com febre alta e rigidez de nuca, suspeita de meningite. Sem histórico médico relevante.",urgente
Reação alérgica grave com edema de glote e dificuldade respiratória. Sem histórico médico relevante.,urgente
Reação alérgica grave com edema de glote e dificuldade respiratória. Acompanhado por familiar.,urgente
"Raio-x de tórax sem alterações, paciente assintomático. Histórico de comorbidades relatado.",normal
"Sinais de acidente vascular cerebral: perda de força e fala arrastada. Paciente do sexo feminino, 45 anos.",urgente
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Paciente do sexo feminino, 45 anos.",atencao
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Paciente do sexo feminino, 45 anos.",atencao
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Encaminhado pelo pronto atendimento.",atencao
Paciente com histórico de alergia relata leve reação cutânea. Sem histórico médico relevante.,atencao
"Resultado de exame de rotina normal, sem necessidade de intervenção. Paciente do sexo masculino, 62 anos.",normal
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Encaminhado pelo pronto atendimento.",urgente
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Sem histórico médico relevante.",urgente
"Raio-x de tórax sem alterações, paciente assintomático. Paciente do sexo masculino, 62 anos.",normal
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Sem histórico médico relevante.",atencao
"Paciente apresenta dor torácica intensa e falta de ar súbita. Paciente do sexo feminino, 45 anos.",urgente
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Encaminhado pelo pronto atendimento.",normal
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Sem histórico médico relevante.",atencao
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Paciente do sexo feminino, 45 anos.",atencao
"Reação alérgica grave com edema de glote e dificuldade respiratória. Paciente do sexo feminino, 45 anos.",urgente
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Sem histórico médico relevante.",normal
"Pressão arterial levemente elevada, recomendado acompanhamento. Histórico de comorbidades relatado.",atencao
"Pequena ferida com sinais iniciais de inflamação, sem pus. Paciente do sexo feminino, 45 anos.",atencao
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Acompanhado por familiar.",urgente
"Pequena ferida com sinais iniciais de inflamação, sem pus. Paciente do sexo masculino, 62 anos.",atencao
"Raio-x de tórax sem alterações, paciente assintomático. Sem histórico médico relevante.",normal
"Consulta de retorno, paciente estável, sem sintomas novos.",normal
"Vacinação de rotina realizada sem intercorrências. Paciente do sexo masculino, 62 anos.",normal
"Resultado de exame de rotina normal, sem necessidade de intervenção. Sem histórico médico relevante.",normal
Reação alérgica grave com edema de glote e dificuldade respiratória. Sem histórico médico relevante.,urgente
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Paciente do sexo masculino, 62 anos.",urgente
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Paciente do sexo feminino, 45 anos.",atencao
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Histórico de comorbidades relatado.",atencao
"Pequena ferida com sinais iniciais de inflamação, sem pus. Paciente do sexo feminino, 45 anos.",atencao
"Resultado de exame de rotina normal, sem necessidade de intervenção. Paciente do sexo feminino, 45 anos.",normal
Exame oftalmológico de rotina sem achados relevantes. Acompanhado por familiar.,normal
"Paciente com convulsões recorrentes e perda de consciência. Paciente do sexo masculino, 62 anos.",urgente
"Pequena ferida com sinais iniciais de inflamação, sem pus. Sem histórico médico relevante.",atencao
"Paciente comparece para avaliação preventiva anual, tudo normal. Acompanhado por familiar.",normal
"Paciente com febre alta e rigidez de nuca, suspeita de meningite. Acompanhado por familiar.",urgente
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Histórico de comorbidades relatado.",normal
"Paciente relata bem-estar geral, sinais vitais normais.",normal
"Paciente com febre alta e rigidez de nuca, suspeita de meningite. Acompanhado por familiar.",urgente
"Paciente relata check-up de rotina, sem queixas relevantes. Histórico de comorbidades relatado.",normal
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Paciente do sexo masculino, 62 anos.",urgente
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Acompanhado por familiar.",normal
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves. Sem histórico médico relevante.",atencao
Exame oftalmológico de rotina sem achados relevantes. Encaminhado pelo pronto atendimento.,normal
"Consulta de retorno, paciente estável, sem sintomas novos. Encaminhado pelo pronto atendimento.",normal
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Sem histórico médico relevante.",urgente
"Paciente relata tosse persistente há uma semana, sem falta de ar. Sem histórico médico relevante.",atencao
"Exame indica leve alteração em enzimas hepáticas, necessita reavaliação. Histórico de comorbidades relatado.",atencao
"Resultado de exame de rotina normal, sem necessidade de intervenção. Paciente do sexo masculino, 62 anos.",normal
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Paciente do sexo masculino, 62 anos.",normal
Paciente apresenta dor torácica intensa e falta de ar súbita.,urgente
Reação alérgica grave com edema de glote e dificuldade respiratória. Sem histórico médico relevante.,urgente
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Paciente do sexo masculino, 62 anos.",atencao
"Paciente comparece para avaliação preventiva anual, tudo normal. Paciente do sexo feminino, 45 anos.",normal
Vacinação de rotina realizada sem intercorrências. Encaminhado pelo pronto atendimento.,normal
"Paciente apresenta dor torácica intensa e falta de ar súbita. Paciente do sexo feminino, 45 anos.",urgente
Exame oftalmológico de rotina sem achados relevantes.,normal
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Paciente do sexo masculino, 62 anos.",atencao
"Paciente relata bem-estar geral, sinais vitais normais. Sem histórico médico relevante.",normal
Sinais de acidente vascular cerebral: perda de força e fala arrastada.,urgente
"Paciente relata check-up de rotina, sem queixas relevantes.",normal
"Trauma craniano grave após acidente, paciente inconsciente. Acompanhado por familiar.",urgente
"Resultado de exame de rotina normal, sem necessidade de intervenção. Sem histórico médico relevante.",normal
"Paciente relata bem-estar geral, sinais vitais normais. Paciente do sexo feminino, 45 anos.",normal
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Histórico de comorbidades relatado.",normal
"Paciente relata bem-estar geral, sinais vitais normais. Paciente do sexo masculino, 62 anos.",normal
"Vacinação de rotina realizada sem intercorrências. Paciente do sexo masculino, 62 anos.",normal
"Exame de sangue dentro dos parâmetros normais, sem alterações significativas. Sem histórico médico relevante.",normal
"Dor abdominal súbita e intensa com abdome em tábua, suspeita de abdome agudo. Paciente do sexo masculino, 62 anos.",urgente
"Trauma craniano grave após acidente, paciente inconsciente. Sem histórico médico relevante.",urgente
"Sinais vitais instáveis, saturação de oxigênio criticamente baixa. Paciente do sexo feminino, 45 anos.",urgente
Reação alérgica grave com edema de glote e dificuldade respiratória. Acompanhado por familiar.,urgente
"Pressão arterial levemente elevada, recomendado acompanhamento.",atencao
"Pressão arterial levemente elevada, recomendado acompanhamento. Histórico de comorbidades relatado.",atencao
"Trauma craniano grave após acidente, paciente inconsciente.",urgente
"Paciente relata bem-estar geral, sinais vitais normais.",normal
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Encaminhado pelo pronto atendimento.",atencao
